name,corps,city,zip,stage,last_survey,nps,title,employer,profession,lat,lon,new_city
Grayson Aurora,Chicago-Northwest Indiana 2016,North Little Rock AR,72116,Alumni,2017,7,Job Title,Employer,Education - pre-K-12 (working in a school),34.82998,-92.2612,North Little Rock
Carson Delilah,Greater Delta: Mississippi and Arkansas 2016,Wynne AR,72396,Alumni,2017,5,Job Title,Employer,Education - pre-K-12 (working in a school),35.23906,-90.7515,Wynne
Nathan Cora,Greater Delta: Mississippi and Arkansas 2016,Walls MS,38680,Alumni,2016,2,Job Title,Employer,Education - Non-Profit,34.95107,-90.1114,Walls
Ella Liam,Greater Philadelphia-Camden 2007,Indianola MS,38751,Alumni,,9,Job Title,Employer,Health (MD DDS DMD PhD),33.29032,-90.6126,Indianola
Willow Jameson,Mississippi Delta 2006,Jackson MS,39211,Alumni,2017,8,Job Title,Employer,Full Time Grad Student,32.36721,-90.0689,Jackson
Landon Anthony,Arkansas 2015,Byram MS,39272,Alumni,2017,,Job Title,Employer,Government - State and Local (non-Department of Education),32.19933,-90.248,Byram
Lydia Axel,Mississippi 2015,Indianola MS,38751,Alumni,2017,8,Job Title,Employer,Other,33.41185,-90.7553,Indianola
Landon Brooklyn,Mississippi Delta 2005,Van Buren AR,72956,Alumni,2016,5,Job Title,Employer,Education - Non-Profit,35.47511,-94.2587,Van Buren
Elijah David,Mississippi Delta 2010,Fayetteville AR,72704-6429,Alumni,2017,8,Job Title,Employer,Law / Legal Services (JD),36.07058,-94.3149,Fayetteville
Leo Leonardo,Twin Cities 2012,Jackson MS,39202,Alumni,2016,7,Job Title,Employer,Education - College / University,32.32155,-90.1558,Jackson
Aurora Quinn,Mississippi Delta 2009,North Little Rock AR,72118,Alumni,2012,10,Job Title,Employer,Education - College / University,34.91442,-92.3415,North Little Rock
Jason Willow,Mississippi 2014,Jackson MS,39211,Alumni,,10,Job Title,Employer,Education - Non-Profit,32.33259,-90.1103,Jackson
Mason Xavier,Mississippi 2013,Jackson MS,39211,Alumni,2015,9,Job Title,Employer,Education - Non-Profit,32.33705,-90.0705,Jackson
Ethan Ariana,Rio Grande Valley 1998,Little Rock AR,72205,Alumni,2017,7,Job Title,Employer,Education - pre-K-12 (working in a school),34.74295,-92.3567,Little Rock
Emilia Abigail,Mississippi 2015,Oxford MS,38655,Alumni,2017,7,Job Title,Employer,Marketing / Brand Management,34.24234,-89.6472,Oxford
Connor Jameson,Rio Grande Valley 2004,Fayetteville AR,72701,Alumni,,,Job Title,Employer,Education - pre-K-12 (working in a school),35.94545,-94.1711,Fayetteville
Eva Grayson,Arkansas 2014,Brandon MS,39042,Alumni,2017,,Job Title,Employer,Education - Non-Profit,32.33345,-90.0039,Brandon
Charlotte John,Mississippi Delta 2011,Jackson MS,39206,Alumni,2017,7,Job Title,Employer,Education - pre-K-12 (working in a school),32.39164,-90.1808,Jackson
William Alexander,Arkansas 2013,Greenville MS,38701,Alumni,,7,Job Title,Employer,Education - pre-K-12 (working in a school),33.35318,-91.1349,Greenville
Jason Xavier,Mississippi 2012,Itta Bena MS,38941,Alumni,,5,Job Title,Employer,Non-profit (Other),33.5525,-90.4181,Itta Bena
Aria Aaron,Indianapolis 2008,Hazlehurst MS,39083,Alumni,,,Job Title,Employer,Science / Engineering,31.92757,-90.2434,Hazlehurst
Jonathan Layla,Mississippi Delta 2000,North Little Rock AR,72114-5690,Alumni,2014,6,Job Title,Employer,Education - pre-K-12 (working in a school),34.77937,-92.2619,North Little Rock
Addison Lincoln,Greater Delta: Mississippi and Arkansas 2016,Brandon MS,39042,Alumni,,10,Job Title,Employer,Education - pre-K-12 (working in a school),32.05581,-89.9912,Brandon
Xavier Hunter,Mississippi 2014,Sardis MS,38666,Alumni,2017,2,Job Title,Employer,Education - pre-K-12 (working in a school),34.37399,-89.9116,Sardis
Willow Aurora,Atlanta 2008,Little Rock AR,72211,Alumni,2016,9,Job Title,Employer,Education - pre-K-12 (working in a school),34.77419,-92.4469,Little Rock
Lily Kennedy,Mississippi Delta 2008,El Dorado AR,71730,Alumni,2017,10,Job Title,Employer,Stay at home parent / Homemaker,33.33831,-92.5969,El Dorado
Maya Greyson,Mississippi 2014,Greenville MS,38701,Alumni,,4,Job Title,Employer,Education - pre-K-12 (working in a school),33.26292,-91.0226,Greenville
Evan Thomas,Mississippi Delta 1995,Marianna AR,72360,Alumni,,3,Job Title,Employer,Education - Non-Profit,34.82768,-90.8885,Marianna
Adam Vivian,Mississippi Delta 2007,Clarksdale MS,38614,Alumni,,8,Job Title,Employer,Education - pre-K-12 (working in a school),34.10994,-90.5163,Clarksdale
Jaxson Miles,Arkansas 2013,Tupelo MS,38804,Alumni,2017,7,Job Title,Employer,Education - Non-Profit,34.37744,-88.8151,Tupelo
Stella Jacob,Alabama 2012,Clarksdale MS,38614,Alumni,,7,Job Title,Employer,Education - pre-K-12 (working in a school),34.11037,-90.631,Clarksdale
Bryson Josiah,Mississippi Delta 1997,Little Rock AR,72205,Alumni,2017,10,Job Title,Employer,Education - pre-K-12 (working in a school),34.74011,-92.3903,Little Rock
Cooper Josiah,Mississippi Delta 2009,,72342,Alumni,,,Job Title,Employer,Education - pre-K-12 (working in a school),34.55737,-90.8148,Helena
Joshua Ezra,Mississippi 2014,Olive Branch MS,38654-7796,Alumni,2017,6,Job Title,Employer,Education - pre-K-12 (working in a school),34.8486,-89.9273,Olive Branch
Cameron Paisley,Mississippi 2014,Helena AR,72342,Alumni,2017,,Job Title,Employer,Education - pre-K-12 (working in a school),34.52583,-90.8292,Helena
Emily Camila,Arkansas 2014,Jackson MS,39056,Alumni,,,Job Title,Employer,Law / Legal Services (JD),32.343,-90.3869,Clinton
Nevaeh Jason,Mississippi 2014,Dumas AR,71639,Alumni,2017,8,Job Title,Employer,Education - pre-K-12 (working in a school),33.83092,-91.3431,Dumas
Josephine Evelyn,Mississippi 2015,Clarksdale MS,38614-2606,Alumni,2017,7,Job Title,Employer,Education - pre-K-12 (working in a school),34.35299,-90.5606,Clarksdale
Eleanor Jack,Rio Grande Valley 2006,Rogers AR,72756,Alumni,2017,7,Job Title,Employer,Education - pre-K-12 (working in a school),36.32964,-93.8364,Rogers
Anna Jack,Arkansas 2014,Jackson MS,39209,Alumni,,8,Job Title,Employer,Education - pre-K-12 (working in a school),32.4181,-90.3572,Jackson
Evelyn Sadie,Mississippi Delta 2011,Rosedale MS,38769,Alumni,2016,7,Job Title,Employer,Education - pre-K-12 (working in a school),33.80592,-90.8973,Rosedale
Vivian Willow,Memphis 2013,Greenwood MS,38930,Alumni,,6,Job Title,Employer,Full Time Grad Student,33.68865,-90.0406,Greenwood
Joseph Easton,Mississippi 2013,Sherwood AR,72120,Alumni,2016,10,Job Title,Employer,Education - pre-K-12 (working in a school),34.97245,-92.2728,Sherwood
Sawyer Jeremiah,Mississippi Delta 2010,Batesville MS,38606,Alumni,2017,,Job Title,Employer,Education - pre-K-12 (working in a school),34.30191,-89.9447,Batesville
Mia Ariana,Greater Delta: Mississippi and Arkansas 2016,Itta Bena MS,38941,Alumni,2017,5,Job Title,Employer,Education - pre-K-12 (working in a school),33.54933,-90.415,Itta Bena
Elijah Caroline,Greater Delta: Mississippi and Arkansas 2016,Lelans MS,38756,Alumni,,0,Job Title,Employer,Education - pre-K-12 (working in a school),33.47558,-90.8021,Leland
Jackson Jack,Mississippi 2013,Starkville MS,39759,Alumni,2016,5,Job Title,Employer,Education - pre-K-12 (working in a school),33.40123,-88.6557,Starkville
Aria Mila,Arkansas 2013,Springdale AR,72762,Alumni,2017,6,Job Title,Employer,Education - pre-K-12 (working in a school),36.14629,-94.1545,Springdale
Isaac Maya,Mississippi Delta 2009,Alexander AR,72202,Alumni,2017,7,Job Title,Employer,Education - pre-K-12 (working in a school),34.72887,-92.3597,Little Rock
Audrey Michael,Mississippi Delta 2011,Lexington MS,39095,Alumni,2014,10,Job Title,Employer,Education - pre-K-12 (working in a school),33.29078,-90.2744,Lexington
Evelyn Caroline,Mississippi Delta 2009,Jackson MS,39056,Alumni,,,Job Title,Employer,Manufacturing,32.34113,-90.4179,Clinton
Delilah Liam,Eastern North Carolina 2005,Little Rock AR,72211,Alumni,,,Job Title,Employer,Education - pre-K-12 (working in a school),34.74348,-92.426,Little Rock
Luna Cora,Greater New Orleans 1993,Flowood MS,39232,Alumni,,8,Job Title,Employer,Full Time Grad Student,32.34539,-90.1388,Flowood
Ian Ian,Arkansas 2014,Cleveland MS,38732,Alumni,,6,Job Title,Employer,Education - Non-Profit,33.71406,-90.7369,Cleveland
Grayson Mason,Mississippi 2014,Marianna AR,72360,Alumni,2016,6,Job Title,Employer,Education - pre-K-12 (working in a school),34.90592,-90.8624,Marianna
Zoey Hazel,South Louisiana 2015,Olive Branch MS,38654,Alumni,2017,,Job Title,Employer,Education - pre-K-12 (working in a school),34.84456,-89.7725,Olive Branch
Chloe Sebastian,Mississippi Delta 2010,Greenville MS,38701,Alumni,,8,Job Title,Employer,Education - pre-K-12 (working in a school),33.32945,-91.0048,Greenville
Avery Naomi,Mississippi 2015,Stuttgart AR,72160,Alumni,2017,4,Job Title,Employer,Education - pre-K-12 (working in a school),34.50139,-91.4488,Stuttgart
Addison Madeline,Mississippi 2015,Lake Village AR,71653,Alumni,,8,Job Title,Employer,Healthcare,33.56127,-91.0546,Lake Village
Santiago Sawyer,Greater Delta: Mississippi and Arkansas 2016,Marianna AR,72360,Alumni,,,Job Title,Employer,Education - pre-K-12 (working in a district),34.66442,-90.718,Marianna
Christian Riley,Mississippi Delta 2010,Little Rock AR,72205,Alumni,2017,7,Job Title,Employer,Education - pre-K-12 (working in a school),34.76982,-92.3853,Little Rock
Jordan Cooper,Arkansas 2015,Jonesboro AR,72401,Alumni,2017,9,Job Title,Employer,Education - pre-K-12 (working in a school),35.9699,-90.6072,Jonesboro
Arianna Brayden,Greater Delta: Mississippi and Arkansas 2016,Jackson MS,39216,Alumni,,,Job Title,Employer,Education - pre-K-12 (working in a school),32.34318,-90.1593,Jackson
Madelyn Violet,Mississippi Delta 2011,Cabot AR,72023,Alumni,2017,10,Job Title,Employer,,35.03269,-92.0018,Cabot
Easton Jack,St. Louis 2012,Helena AR,72342,Alumni,2017,7,Job Title,Employer,Education - pre-K-12 (working in a school),34.58537,-90.7597,Helena
Landon Elijah,Greater Delta: Mississippi and Arkansas 2016,Greenville MS,38701,Alumni,,7,Job Title,Employer,Education - pre-K-12 (working in a school),33.36283,-91.0302,Greenville
Dylan Quinn,Arkansas 2012,Helena AR,72342,Alumni,2017,8,Job Title,Employer,Education - Non-Profit,34.33731,-90.6897,Helena
Jordan Kennedy,Mississippi Delta 2011,Madison MS,39110,Alumni,,8,Job Title,Employer,Education - Non-Profit,32.53247,-90.0442,Madison
Bryson Zoey,Alabama 2013,Como MS,38619,Alumni,,9,Job Title,Employer,Education - pre-K-12 (working in a school),34.51978,-89.9872,Como
Emilia Sebastian,Mississippi Delta 2011,Hampton AR,71744,Alumni,2013,8,Job Title,Employer,Full Time Grad Student,33.50859,-92.6191,Hampton
Emery Kayden,Memphis 2014,West Memphis AR,72301,Alumni,,4,Job Title,Employer,Education - pre-K-12 (working in a school),35.134,-90.2494,West Memphis
Noah Jason,Greater Tulsa 2015,Little Rock AR,72205,Alumni,2014,10,Job Title,Employer,,34.74175,-92.3946,Little Rock
Roman Austin,Mississippi 2013,Clarksdale MS,38614,Alumni,2017,7,Job Title,Employer,Full Time Grad Student,33.99425,-90.6046,Clarksdale
Sebastian Alexa,Mississippi 2012,Southaven MS,38671,Alumni,2017,10,Job Title,Employer,Education - pre-K-12 (working in a school),34.98328,-90.0108,Southaven
Penelope Maverick,Mississippi 2013,Sherwood AR,72120,Alumni,2017,10,Job Title,Employer,Education - pre-K-12 (working in a school),34.92777,-92.2451,Sherwood
Madelyn Victoria,Mississippi Delta 2003,Ridgeland MS,39157-9721,Alumni,,,Job Title,Employer,Education - pre-K-12 (working in a school),32.44163,-90.1481,Ridgeland
Oliver Jeremiah,Mississippi Delta 2003,Fayetteville AR,72704-7550,Alumni,2014,3,Job Title,Employer,Education - pre-K-12 (working in a school),36.09895,-94.4474,Fayetteville
Elena Genesis,Mississippi Delta 2008,Starkville MS,39759,Alumni,2013,3,Job Title,Employer,Education - pre-K-12 (working in a school),33.3497,-89.0069,Starkville
Thomas Zoey,Greater Delta: Mississippi and Arkansas 2016,Indianola MS,38751,Alumni,2017,6,Job Title,Employer,Education - other,33.42053,-90.638,Indianola
Leah Xavier,Mississippi Delta 2009,Marion AR,72315,Alumni,2017,9,Job Title,Employer,Education - pre-K-12 (working in a school),35.90709,-90.0998,Blytheville
Victoria Lucas,Eastern North Carolina 2014,Oxford MS,38655,Alumni,2017,8,Job Title,Employer,Education - pre-K-12 (working in a school),34.46881,-89.3713,Oxford
Christopher Eliana,D.C. Region 2014,Olive Branch MS,38654,Alumni,,7,Job Title,Employer,Education - pre-K-12 (working in a school),34.93035,-89.7215,Olive Branch
Audrey Isaac,Mississippi Delta 2009,Tupelo MS,38801,Alumni,,,Job Title,Employer,Education - pre-K-12 (working in a school),34.25718,-88.8558,Tupelo
Mila Leo,New York 2012,Cleveland MS,38732,Alumni,2017,8,Job Title,Employer,Education - pre-K-12 (working in a school),33.80091,-90.8686,Cleveland
Isla Audrey,Mississippi 2015,Little Rock AR,72202,Alumni,2017,10,Job Title,Employer,Education - pre-K-12 (working in a school),34.71737,-92.1946,Little Rock
Grace Nevaeh,Greater Delta: Mississippi and Arkansas 2016,Mabelvale AR,72103,Alumni,2017,2,Job Title,Employer,Education - Non-Profit,34.51743,-92.3924,Mabelvale
Gianna Willow,Mississippi Delta 2010,Oxford MS,38655,Alumni,,9,Job Title,Employer,Education - pre-K-12 (working in a school),34.17998,-89.4755,Oxford
Samantha David,Greater Delta: Mississippi and Arkansas 2016,Clarksdale MS,38614,Alumni,2017,9,Job Title,Employer,Education - pre-K-12 (working in a school),34.29198,-90.538,Clarksdale
Julia Jayden,Greater Delta: Mississippi and Arkansas 2016,North Little Rock AR,72116,Alumni,2017,6,Job Title,Employer,Education - pre-K-12 (working in a school),34.79005,-92.217,North Little Rock
Josephine Parker,Houston 2007,Clarksdale MS,38614,Alumni,,8,Job Title,Employer,Education - College / University,34.34522,-90.7492,Clarksdale
Nova Jacob,Mississippi Delta 2009,Jackson MS,39216,Alumni,,8,Job Title,Employer,Education - Non-Profit,32.32214,-90.1433,Jackson
Ryan Emma,Mississippi Delta 2009,Smackover AR,71762,Alumni,2017,,Job Title,Employer,Education - pre-K-12 (working in a school),33.33432,-92.7398,Smackover
Jameson Anthony,Mississippi 2012,Greenwood MS,38930,Alumni,,3,Job Title,Employer,Health (other),33.45331,-90.0179,Greenwood
Jaxon Alexa,Arkansas 2012,Clarksdale MS,38614,Alumni,,6,Job Title,Employer,Education - pre-K-12 (working in a school),34.10794,-90.4658,Clarksdale
Sophie Victoria,Mississippi 2015,Bentonville AR,72704,Alumni,2017,2,Job Title,Employer,Education - pre-K-12 (working in a school),36.13067,-94.1937,Fayetteville
Angel Delilah,Greater Delta: Mississippi and Arkansas 2016,Marion AR,72364,Alumni,2017,7,Job Title,Employer,Sales / Marketing,35.25964,-90.2896,Marion
Joseph Madison,Mississippi 2015,Olive Branch MS,38654,Alumni,2017,8,Job Title,Employer,Education - pre-K-12 (working in a school),34.86298,-89.9384,Olive Branch
Elias Savannah,Mississippi 2012,Little Rock AR,72207,Alumni,2017,9,Job Title,Employer,Stay at home parent / Homemaker,34.7646,-92.3295,Little Rock
Cooper Daniel,Mississippi Delta 2003,Helena AR,72342,Alumni,,8,Job Title,Employer,Education - pre-K-12 (working in a school),34.46245,-90.8065,Helena
Quinn Levi,Oklahoma 2014,Lexington MS,39095,Alumni,,7,Job Title,Employer,Education - pre-K-12 (working in a school),33.17136,-89.9311,Lexington
Jonathan Julia,Mississippi Delta 2010,Helena AR,72342,Alumni,2017,7,Job Title,Employer,Law / Legal Services (JD),34.50926,-90.58,Helena
Carson Ellie,Mississippi Delta 2004,Cleveland MS,38732,Alumni,,5,Job Title,Employer,Education - pre-K-12 (working in a school),33.81873,-90.6791,Cleveland
Amelia Camila,D.C. Region 2000,Oxford MS,38655,Alumni,,,Job Title,Employer,Education - pre-K-12 (working in a school),34.28187,-89.6743,Oxford
Stella Kayden,Mississippi 2014,Greenwood MS,38930,Alumni,2015,8,Job Title,Employer,Education - pre-K-12 (working in a school),33.38171,-90.0076,Greenwood
Sebastian Josephine,Mississippi Delta 2005,Greenville MS,38703-9484,Alumni,2016,5,Job Title,Employer,Education - pre-K-12 (working in a school),33.46794,-91.0505,Greenville
Ariana Jason,Greater New Orleans 1991,Ruleville MS,38771,Alumni,,,Job Title,Employer,Education - pre-K-12 (working in a school),33.70866,-90.4622,Ruleville
Daniel Lillian,Mississippi 2015,Greenville MS,38701,Alumni,,8,Job Title,Employer,Stay at home parent / Homemaker,33.21289,-90.9775,Greenville
Evelyn Valentina,Mississippi Delta 2010,Jackson MS,39211-3027,Alumni,2017,2,Job Title,Employer,Education - College / University,32.36069,-90.1287,Jackson
Grace Jacob,Mississippi 2012,North Little Rock AR,72113,Alumni,2017,6,Job Title,Employer,Education - Non-Profit,34.93087,-92.3431,Maumelle
Aiden Ryan,Mississippi 2015,Little Rock AR,72207,Alumni,2014,7,Job Title,Employer,Banking / Finance,34.7657,-92.3538,Little Rock
Cora Savannah,Mississippi Delta 2010,Fayetteville AR,72703,Alumni,2017,7,Job Title,Employer,Religious Institution,36.12059,-93.9617,Fayetteville
Delilah David,Mississippi Delta 2010,Tupelo MS,38804,Alumni,2017,,Job Title,Employer,Education - pre-K-12 (working in a school),34.21026,-88.7596,Tupelo
Anna Jason,Mississippi Delta 2008,Helena AR,72342,Alumni,2017,9,Job Title,Employer,Education - pre-K-12 (working in a school),34.37461,-90.7283,Helena
Joseph Jordan,Phoenix 2001,West MS,39192,Alumni,,,Job Title,Employer,Education - other,33.0882,-89.7374,West
Kinsley Nathan,Mississippi Delta 2011,Conway AR,72034,Alumni,2017,7,Job Title,Employer,Education - pre-K-12 (working in a school),35.0048,-92.4921,Conway
Aaron Matthew,South Louisiana 2007,Jonesboro AR,72404,Alumni,2015,10,Job Title,Employer,Education - pre-K-12 (working in a school),35.85794,-90.8854,Jonesboro
Noah Aaliyah,Arkansas 2013,Fayetteville AR,72701,Alumni,2017,7,Job Title,Employer,Stay at home parent / Homemaker,36.03156,-94.0726,Fayetteville
Liam Quinn,Arkansas 2012,Leland MS,38756,Alumni,2017,9,Job Title,Employer,Non-profit Policy / Advocacy,33.32277,-90.8813,Leland
Willow Hudson,New Mexico 2008,Indianola MS,38751,Alumni,,2,Job Title,Employer,Education - pre-K-12 (working in a school),33.38294,-90.6606,Indianola
Lily Lucas,Arkansas 2012,Batesville MS,38606,Alumni,2017,7,Job Title,Employer,Education - pre-K-12 (working in a school),34.43233,-89.8081,Batesville
Santiago Connor,New Mexico 2006,Pine Bluff AR,71603,Alumni,,10,Job Title,Employer,Education - pre-K-12 (working in a school),34.03283,-92.0852,Pine Bluff
Cameron Levi,Mississippi 2014,Jackson MS,39211,Alumni,2017,,Job Title,Employer,Accounting,32.38091,-90.1265,Jackson
Ian Ryan,Mississippi Delta 2011,Leland MS,38756,Alumni,2017,6,Job Title,Employer,Full Time Grad Student,33.48047,-90.7667,Leland
Zoey Mia,Greater Delta: Mississippi and Arkansas 2016,Jackson MS,39206,Alumni,2017,,Job Title,Employer,Education - Non-Profit,32.34998,-90.1869,Jackson
Paisley Avery,Mississippi 2015,Hot Springs AR,71901,Alumni,2017,9,Job Title,Employer,Education - pre-K-12 (working in a charter network of 2+ campuses),34.46191,-92.91,Hot Springs National Park
Aurora Nathan,Mississippi 2014,Helena AR,72342,Alumni,2017,5,Job Title,Employer,Education - pre-K-12 (working in a school),34.3356,-90.6284,Helena
Sophie Jaxson,Mississippi Delta 2006,Columbus MS,39705-5338,Alumni,,,Job Title,Employer,Education - pre-K-12 (working in a school),33.65202,-88.3506,Columbus
Jose Julia,Mississippi 2014,Cleveland MS,38732,Alumni,2017,8,Job Title,Employer,Full Time Grad Student,33.82481,-90.658,Cleveland
Jayden Gabriella,Mississippi 2013,Cleveland MS,38732-3751,Alumni,2017,8,Job Title,Employer,Philanthropy,33.75,-90.7517,Cleveland
Hazel Emilia,New York City 2000,Cleveland MS,38732,Alumni,2016,8,Job Title,Employer,Education - Non-Profit,33.77986,-90.7971,Cleveland
Savannah Nora,Mississippi Delta 1996,Cleveland MS,38732,Alumni,2017,,Job Title,Employer,Education - Non-Profit,33.82596,-90.8263,Cleveland
Emily Adrian,Atlanta 2001,Southaven MS,38671,Alumni,2017,9,Job Title,Employer,Education - pre-K-12 (working in a school),34.90773,-89.962,Southaven
Anna Claire,Arkansas 2015,Yazoo City MS,39194,Alumni,,9,Job Title,Employer,Education - pre-K-12 (working in a school),32.80644,-90.7124,Yazoo City
Alexander Jackson,Greater Delta: Mississippi and Arkansas 2016,Lowell AR,72745,Alumni,2016,9,Job Title,Employer,Education - pre-K-12 (working in a school),36.21329,-94.0942,Lowell
Grace Xavier,Mississippi Delta 2005,Indianola MS,38751,Alumni,2017,7,Job Title,Employer,Education - Non-Profit,33.35905,-90.7596,Indianola
Valentina Jaxon,Arkansas 2015,Pine Bluff AR,71601,Alumni,2017,6,Job Title,Employer,Education - pre-K-12 (working in a school),34.15781,-91.8283,Pine Bluff
Ava Austin,Mississippi Delta 2011,Blytheville AR,72315,Alumni,2017,8,Job Title,Employer,Other,35.77619,-89.8151,Blytheville
Sofia Layla,Greater New Orleans - Louisiana Delta 2014,Indianola MS,38751,Alumni,2017,5,Job Title,Employer,Education - pre-K-12 (working in a school),33.39234,-90.7087,Indianola
Everly Naomi,Mississippi 2015,Lyon MS,38645,Alumni,,6,Job Title,Employer,Education - pre-K-12 (working in a school),34.14988,-90.5088,Lyon
Nolan Charles,Mississippi 2015,Jacksonville AR,72076,Alumni,2017,8,Job Title,Employer,Education - pre-K-12 (working in a school),34.82097,-92.1583,Jacksonville
Jaxson Brayden,Mississippi Delta 2011,Little Rock AR,72206,Alumni,2017,,Job Title,Employer,Full Time Grad Student,34.71585,-92.2506,Little Rock
Everett Camila,Greater Delta: Mississippi and Arkansas 2016,Tupelo MS,38804,Alumni,2017,9,Job Title,Employer,Education - pre-K-12 (working in a school),34.30119,-88.6055,Tupelo
Ellie Oliver,Mississippi 2015,Cleveland MS,38732,Alumni,,10,Job Title,Employer,Education - College / University,33.70417,-90.8274,Cleveland
Serenity Ryan,Mississippi Delta 2004,Southaven MS,38671,Alumni,2017,6,Job Title,Employer,Education - Non-Profit,34.95428,-90.0249,Southaven
Ian Ariana,Mississippi 2013,Clarksdale MS,38614,Alumni,,5,Job Title,Employer,Education - pre-K-12 (working in a school),34.25672,-90.7526,Clarksdale
Harper Valentina,St. Louis 2002,Madison MS,39110,Alumni,2017,10,Job Title,Employer,,32.48934,-90.0926,Madison
Jeremiah Paisley,Greater Delta: Mississippi and Arkansas 2016,Jackson MS,39202-2440,Alumni,2017,10,Job Title,Employer,Education - College / University,32.31511,-90.1888,Jackson
Charles Madison,Greater Delta: Mississippi and Arkansas 2016,Stuttgart AR,72160,Alumni,2017,6,Job Title,Employer,Education - pre-K-12 (working in a school),34.40492,-91.6389,Stuttgart
Emma Hailey,Mississippi 2012,Helena AR,72342-2205,Alumni,2017,4,Job Title,Employer,Education - pre-K-12 (working in a school),34.4461,-90.5924,Helena
Daniel Alice,Mississippi Delta 2010,Fayetteville AR,72703,Alumni,2017,10,Job Title,Employer,Education - pre-K-12 (working in a school),36.15682,-94.1704,Fayetteville
Allison Lincoln,Alabama 2010,El Dorado AR,71730,Alumni,,10,Job Title,Employer,Education - pre-K-12 (working in a school),33.12485,-92.3863,El Dorado
Ava Riley,Mississippi Delta 2010,Stuttgart AR,72160,Alumni,2017,9,Job Title,Employer,Education - pre-K-12 (working in a school),34.14348,-91.6622,Stuttgart
Logan Mia,Greater Delta: Mississippi and Arkansas 2016,Jackson MS,39202,Alumni,2014,6,Job Title,Employer,Education - pre-K-12 (working in a school),32.28731,-90.1828,Jackson
Brielle Paisley,Oklahoma 2013,Dundee MS,38626,Alumni,2017,,Job Title,Employer,Politics,34.47397,-90.3627,Dundee
Maverick Ivy,Mississippi Delta 2011,El Dorado AR,71730,Alumni,2017,9,Job Title,Employer,Education - other,33.09118,-92.7815,El Dorado
Levi Jameson,Greater Delta: Mississippi and Arkansas 2016,Lyon MS,38645,Alumni,2014,8,Job Title,Employer,Education - pre-K-12 (working in a school),34.17225,-90.4074,Lyon
Ian Hudson,Mississippi Delta 2010,Helena AR,72342,Alumni,2017,10,Job Title,Employer,Education - pre-K-12 (working in a school),34.54095,-90.8382,Helena
Benjamin Hailey,Arkansas 2014,Greenwood MS,38930,Alumni,,10,Job Title,Employer,Education - pre-K-12 (working in a school),33.67701,-90.0099,Greenwood
Madeline Ava,Mississippi Delta 2009,Blytheville AR,72315,Alumni,2017,3,Job Title,Employer,Education - pre-K-12 (working in a school),35.85676,-89.9478,Blytheville
Ruby Willow,Mississippi 2014,Bentonville AR,72712,Alumni,,10,Job Title,Employer,Education - pre-K-12 (working in a school),36.46949,-94.2026,Bentonville
Elena Christian,Arkansas 2012,Little Rock AR,72202,Alumni,2017,10,Job Title,Employer,Education - pre-K-12 (working in a school),34.72828,-92.3064,Little Rock
Kennedy Emily,Arkansas 2015,El Dorado AR,71730,Alumni,,8,Job Title,Employer,Sales,33.24884,-92.5402,El Dorado
Abigail Easton,Greater Delta: Mississippi and Arkansas 2016,Clarksdale MS,38614,Alumni,,5,Job Title,Employer,Education - pre-K-12 (working in a school),34.16895,-90.5751,Clarksdale
Connor Emery,Mississippi 2015,Cleveland MS,38732,Alumni,,5,Job Title,Employer,Stay at home parent / Homemaker,33.72289,-90.6213,Cleveland
Kinsley Zoe,Mississippi Delta 2011,Holly Springs MS,38635,Alumni,,7,Job Title,Employer,Education - Non-Profit,34.6805,-89.419,Holly Springs
Madelyn Connor,Greater New Orleans - Louisiana Delta 2013,Cleveland MS,38732,Alumni,2017,8,Job Title,Employer,Education - Non-Profit,33.82101,-90.7977,Cleveland
Jeremiah Angel,Greater Delta: Mississippi and Arkansas 2016,Little Rock AR,72207-4165,Alumni,2014,10,Job Title,Employer,Education - pre-K-12 (working in a school),34.78745,-92.3219,Little Rock
Aurora Vivian,Greater Delta: Mississippi and Arkansas 2016,Manila AR,72442,Alumni,2014,9,Job Title,Employer,Education - pre-K-12 (working in a school),35.80844,-90.2291,Manila
Elena Eliana,Mississippi 2015,Olive Branch MS,38654,Alumni,2016,10,Job Title,Employer,Education - pre-K-12 (working in a school),34.89063,-89.698,Olive Branch
Lillian Valentina,Mississippi 2015,Little Rock AR,72202,Alumni,2017,5,Job Title,Employer,,34.75487,-92.3231,Little Rock
Joshua Landon,Greater Delta: Mississippi and Arkansas 2016,Cleveland MS,38732,Alumni,,8,Job Title,Employer,Education - pre-K-12 (working in a school),33.69957,-90.6307,Cleveland
Madeline Mila,Mississippi 2015,Yazoo City MS,39194,Alumni,2017,3,Job Title,Employer,Education - pre-K-12 (working in a charter network of 2+ campuses),32.93016,-90.3267,Yazoo City
Adrian Gabriel,Eastern North Carolina 2006,Greenwood MS,38930,Alumni,,4,Job Title,Employer,Other,33.53612,-90.2467,Greenwood
Sarah Brielle,Arkansas 2012,Ridgeland MS,39157,Alumni,2017,8,Job Title,Employer,Education - other,32.46037,-90.0913,Ridgeland
Leo Layla,Mississippi 2015,Blytheville AR,72315,Alumni,,5,Job Title,Employer,Education - pre-K-12 (working in a school),35.78524,-90.006,Blytheville
Audrey Delilah,Mississippi Delta 2004,Clarksdale MS,38614,Alumni,,,Job Title,Employer,Education - pre-K-12 (working in a school),33.99976,-90.457,Clarksdale
